Date,EWG
1996-03-18,6.700929164886475
1996-03-19,6.732096195220947
1996-03-20,6.732096195220947
1996-03-21,6.732096195220947
1996-03-22,6.732096195220947
1996-03-25,6.825596809387207
1996-03-26,6.794431686401367
1996-03-27,6.732096195220947
1996-03-28,6.794431686401367
1996-03-29,6.732096195220947
1996-04-01,6.7632646560668945
1996-04-02,6.794431686401367
1996-04-03,6.732096195220947
1996-04-04,6.700929164886475
1996-04-08,6.669760227203369
1996-04-09,6.700929164886475
1996-04-10,6.700929164886475
1996-04-11,6.700929164886475
1996-04-12,6.700929164886475
1996-04-15,6.700929164886475
1996-04-16,6.700929164886475
1996-04-17,6.669760227203369
1996-04-18,6.669760227203369
1996-04-19,6.700929164886475
1996-04-22,6.669760227203369
1996-04-23,6.669760227203369
1996-04-24,6.607427597045898
1996-04-25,6.5762619972229
1996-04-26,6.607427597045898
1996-04-29,6.545094013214111
1996-04-30,6.420425891876221
1996-05-01,6.451594352722168
1996-05-02,6.451594352722168
1996-05-03,6.482760906219482
1996-05-06,6.482760906219482
1996-05-07,6.482760906219482
1996-05-08,6.513925552368164
1996-05-09,6.513925552368164
1996-05-10,6.513925552368164
1996-05-13,6.420425891876221
1996-05-14,6.513925552368164
1996-05-15,6.545094013214111
1996-05-16,6.545094013214111
1996-05-17,6.607427597045898
1996-05-20,6.607427597045898
1996-05-21,6.545094013214111
1996-05-22,6.545094013214111
1996-05-23,6.607427597045898
1996-05-24,6.607427597045898
1996-05-28,6.5762619972229
1996-05-29,6.545094013214111
1996-05-30,6.545094013214111
1996-05-31,6.5762619972229
1996-06-03,6.5762619972229
1996-06-04,6.607427597045898
1996-06-05,6.669760227203369
1996-06-06,6.669760227203369
1996-06-07,6.669760227203369
1996-06-10,6.607427597045898
1996-06-11,6.607427597045898
1996-06-12,6.607427597045898
1996-06-13,6.607427597045898
1996-06-14,6.607427597045898
1996-06-17,6.5762619972229
1996-06-18,6.732096195220947
1996-06-19,6.669760227203369
1996-06-20,6.607427597045898
1996-06-21,6.5762619972229
1996-06-24,6.638595104217529
1996-06-25,6.732096195220947
1996-06-26,6.700929164886475
1996-06-27,6.732096195220947
1996-06-28,6.794431686401367
1996-07-01,6.7632646560668945
1996-07-02,6.7632646560668945
1996-07-03,6.794431686401367
1996-07-05,6.732096195220947
1996-07-08,6.732096195220947
1996-07-09,6.638595104217529
1996-07-10,6.638595104217529
1996-07-11,6.607427597045898
1996-07-12,6.669760227203369
1996-07-15,6.669760227203369
1996-07-16,6.669760227203369
1996-07-17,6.732096195220947
1996-07-18,6.794431686401367
1996-07-19,6.7632646560668945
1996-07-22,6.607427597045898
1996-07-23,6.669760227203369
1996-07-24,6.5762619972229
1996-07-25,6.732096195220947
1996-07-26,6.732096195220947
1996-07-29,6.669760227203369
1996-07-30,6.669760227203369
1996-07-31,6.856766223907471
1996-08-01,6.856766223907471
1996-08-02,6.856766223907471
1996-08-05,6.887931823730469
1996-08-06,6.856766223907471
1996-08-07,6.887931823730469
1996-08-08,6.887931823730469
1996-08-09,6.887931823730469
1996-08-12,6.856766223907471
1996-08-13,6.950265884399414
1996-08-14,6.919100284576416
1996-08-15,6.856766223907471
1996-08-16,6.887931823730469
1996-08-19,6.919100284576416
1996-08-20,6.919100284576416
1996-08-21,6.856766223907471
1996-08-22,6.887931823730469
1996-08-23,6.950265884399414
1996-08-26,6.978686332702637
1996-08-27,6.978686332702637
1996-08-28,6.884375095367432
1996-08-29,6.852941989898682
1996-08-30,6.821507930755615
1996-09-03,6.790071487426758
1996-09-04,6.821507930755615
1996-09-05,6.821507930755615
1996-09-06,6.852941989898682
1996-09-09,6.884375095367432
1996-09-10,6.821507930755615
1996-09-11,6.821507930755615
1996-09-12,6.852941989898682
1996-09-13,6.9472479820251465
1996-09-16,6.978686332702637
1996-09-17,6.978686332702637
1996-09-18,6.884375095367432
1996-09-19,6.915813446044922
1996-09-20,6.978686332702637
1996-09-23,6.852941989898682
1996-09-24,6.978686332702637
1996-09-25,7.010119915008545
1996-09-26,7.010119915008545
1996-09-27,6.978686332702637
1996-09-30,6.9472479820251465
1996-10-01,6.978686332702637
1996-10-02,7.041556358337402
1996-10-03,7.010119915008545
1996-10-04,7.072990894317627
1996-10-07,7.072990894317627
1996-10-08,7.072990894317627
1996-10-09,7.072990894317627
1996-10-10,6.978686332702637
1996-10-11,7.041556358337402
1996-10-14,6.978686332702637
1996-10-15,7.041556358337402
1996-10-16,7.010119915008545
1996-10-17,7.041556358337402
1996-10-18,7.104429244995117
1996-10-21,7.104429244995117
1996-10-22,7.104429244995117
1996-10-23,7.041556358337402
1996-10-24,6.978686332702637
1996-10-25,7.072990894317627
1996-10-28,7.104429244995117
1996-10-29,7.072990894317627
1996-10-30,7.072990894317627
1996-10-31,6.978686332702637
1996-11-01,7.041556358337402
1996-11-04,7.072990894317627
1996-11-05,7.010119915008545
1996-11-06,7.167296409606934
1996-11-07,7.104429244995117
1996-11-08,7.167296409606934
1996-11-11,7.230169773101807
1996-11-12,7.198731899261475
1996-11-13,7.261605262756348
1996-11-14,7.261605262756348
1996-11-15,7.3244733810424805
1996-11-18,7.3244733810424805
1996-11-19,7.3244733810424805
1996-11-20,7.35590934753418
1996-11-21,7.3244733810424805
1996-11-22,7.261605262756348
1996-11-25,7.261605262756348
1996-11-26,7.230169773101807
1996-11-27,7.167296409606934
1996-11-29,7.230169773101807
1996-12-02,7.261605262756348
1996-12-03,7.261605262756348
1996-12-04,7.198731899261475
1996-12-05,7.293039321899414
1996-12-06,7.167296409606934
