Date,EWL
1996-03-18,6.701599597930908
1996-03-19,6.634584426879883
1996-03-20,6.634584426879883
1996-03-21,6.634584426879883
1996-03-22,6.701599597930908
1996-03-25,6.835632801055908
1996-03-26,6.701599597930908
1996-03-27,6.668092250823975
1996-03-28,6.668092250823975
1996-03-29,6.668092250823975
1996-04-01,6.735107421875
1996-04-02,6.735107421875
1996-04-03,6.634584426879883
1996-04-04,6.634584426879883
1996-04-08,6.567567825317383
1996-04-09,6.601075649261475
1996-04-10,6.46704626083374
1996-04-11,6.46704626083374
1996-04-12,6.46704626083374
1996-04-15,6.46704626083374
1996-04-16,6.46704626083374
1996-04-17,6.433534622192383
1996-04-18,6.433534622192383
1996-04-19,6.50055456161499
1996-04-22,6.634584426879883
1996-04-23,6.601075649261475
1996-04-24,6.567567825317383
1996-04-25,6.567567825317383
1996-04-26,6.634584426879883
1996-04-29,6.634584426879883
1996-04-30,6.534060955047607
1996-05-01,6.534060955047607
1996-05-02,6.50055456161499
1996-05-03,6.50055456161499
1996-05-06,6.433534622192383
1996-05-07,6.400030136108398
1996-05-08,6.433534622192383
1996-05-09,6.400030136108398
1996-05-10,6.400030136108398
1996-05-13,6.400030136108398
1996-05-14,6.400030136108398
1996-05-15,6.400030136108398
1996-05-16,6.433534622192383
1996-05-17,6.433534622192383
1996-05-20,6.333010673522949
1996-05-21,6.400030136108398
1996-05-22,6.23248815536499
1996-05-23,6.265995502471924
1996-05-24,6.299503326416016
1996-05-28,6.299503326416016
1996-05-29,6.265995502471924
1996-05-30,6.23248815536499
1996-05-31,6.333010673522949
1996-06-03,6.333010673522949
1996-06-04,6.333010673522949
1996-06-05,6.23248815536499
1996-06-06,6.400030136108398
1996-06-07,6.299503326416016
1996-06-10,6.333010673522949
1996-06-11,6.333010673522949
1996-06-12,6.299503326416016
1996-06-13,6.333010673522949
1996-06-14,6.333010673522949
1996-06-17,6.433534622192383
1996-06-18,6.50055456161499
1996-06-19,6.534060955047607
1996-06-20,6.50055456161499
1996-06-21,6.433534622192383
1996-06-24,6.534060955047607
1996-06-25,6.534060955047607
1996-06-26,6.567567825317383
1996-06-27,6.50055456161499
1996-06-28,6.634584426879883
1996-07-01,6.634584426879883
1996-07-02,6.567567825317383
1996-07-03,6.601075649261475
1996-07-05,6.601075649261475
1996-07-08,6.567567825317383
1996-07-09,6.534060955047607
1996-07-10,6.534060955047607
1996-07-11,6.601075649261475
1996-07-12,6.601075649261475
1996-07-15,6.534060955047607
1996-07-16,6.601075649261475
1996-07-17,6.601075649261475
1996-07-18,6.634584426879883
1996-07-19,6.634584426879883
1996-07-22,6.534060955047607
1996-07-23,6.534060955047607
1996-07-24,6.333010673522949
1996-07-25,6.333010673522949
1996-07-26,6.50055456161499
1996-07-29,6.36652135848999
1996-07-30,6.46704626083374
1996-07-31,6.46704626083374
1996-08-01,6.46704626083374
1996-08-02,6.701599597930908
1996-08-05,6.634584426879883
1996-08-06,6.634584426879883
1996-08-07,6.735107421875
1996-08-08,6.601075649261475
1996-08-09,6.601075649261475
1996-08-12,6.46704626083374
1996-08-13,6.668092250823975
1996-08-14,6.634584426879883
1996-08-15,6.534060955047607
1996-08-16,6.634584426879883
1996-08-19,6.567567825317383
1996-08-20,6.634584426879883
1996-08-21,6.634584426879883
1996-08-22,6.634584426879883
1996-08-23,6.735107421875
1996-08-26,6.7864274978637695
1996-08-27,6.7864274978637695
1996-08-28,6.685138702392578
1996-08-29,6.651374340057373
1996-08-30,6.58384895324707
1996-09-03,6.4825568199157715
1996-09-04,6.4825568199157715
1996-09-05,6.4825568199157715
1996-09-06,6.5500874519348145
1996-09-09,6.617611408233643
1996-09-10,6.617611408233643
1996-09-11,6.617611408233643
1996-09-12,6.617611408233643
1996-09-13,6.5500874519348145
1996-09-16,6.617611408233643
1996-09-17,6.516323566436768
1996-09-18,6.415032863616943
1996-09-19,6.516323566436768
1996-09-20,6.4825568199157715
1996-09-23,6.313741207122803
1996-09-24,6.44879674911499
1996-09-25,6.415032863616943
1996-09-26,6.415032863616943
1996-09-27,6.415032863616943
1996-09-30,6.44879674911499
1996-10-01,6.4825568199157715
1996-10-02,6.4825568199157715
1996-10-03,6.516323566436768
1996-10-04,6.617611408233643
1996-10-07,6.5500874519348145
1996-10-08,6.617611408233643
1996-10-09,6.58384895324707
1996-10-10,6.58384895324707
1996-10-11,6.58384895324707
1996-10-14,6.617611408233643
1996-10-15,6.4825568199157715
1996-10-16,6.415032863616943
1996-10-17,6.516323566436768
1996-10-18,6.4825568199157715
1996-10-21,6.415032863616943
1996-10-22,6.516323566436768
1996-10-23,6.4825568199157715
1996-10-24,6.4825568199157715
1996-10-25,6.4825568199157715
1996-10-28,6.44879674911499
1996-10-29,6.44879674911499
1996-10-30,6.415032863616943
1996-10-31,6.381267070770264
1996-11-01,6.381267070770264
1996-11-04,6.44879674911499
1996-11-05,6.44879674911499
1996-11-06,6.516323566436768
1996-11-07,6.44879674911499
1996-11-08,6.4825568199157715
1996-11-11,6.617611408233643
1996-11-12,6.5500874519348145
1996-11-13,6.5500874519348145
1996-11-14,6.5500874519348145
1996-11-15,6.651374340057373
1996-11-18,6.685138702392578
1996-11-19,6.718901634216309
1996-11-20,6.617611408233643
1996-11-21,6.58384895324707
1996-11-22,6.685138702392578
1996-11-25,6.5500874519348145
1996-11-26,6.58384895324707
1996-11-27,6.58384895324707
1996-11-29,6.58384895324707
1996-12-02,6.516323566436768
1996-12-03,6.516323566436768
1996-12-04,6.516323566436768
1996-12-05,6.5500874519348145
