Date,EIS
2008-03-28,35.86908721923828
2008-03-31,35.357505798339844
2008-04-01,36.23657989501953
2008-04-02,36.27981185913086
2008-04-03,36.222171783447266
2008-04-04,36.25100326538086
2008-04-07,35.9843864440918
2008-04-08,36.301429748535156
2008-04-09,36.27981185913086
2008-04-10,36.76258087158203
2008-04-11,36.43833541870117
2008-04-14,36.942718505859375
2008-04-15,37.519161224365234
2008-04-16,38.5711669921875
2008-04-17,38.94584655761719
2008-04-18,39.37818908691406
2008-04-21,39.068355560302734
2008-04-22,38.96747589111328
2008-04-23,39.47906494140625
2008-04-24,39.26289749145508
2008-04-25,39.226871490478516
2008-04-28,38.52793502807617
2008-04-29,38.17487335205078
2008-04-30,39.02510452270508
2008-05-01,38.68644714355469
2008-05-02,38.549556732177734
2008-05-05,39.0539436340332
2008-05-06,39.50067901611328
2008-05-07,38.52793502807617
2008-05-08,38.74410629272461
2008-05-09,38.43426513671875
2008-05-12,39.07555389404297
2008-05-13,38.981876373291016
2008-05-14,39.49348068237305
2008-05-15,40.077125549316406
2008-05-16,40.6535530090332
2008-05-19,40.28608322143555
2008-05-20,39.49348068237305
2008-05-21,40.0987434387207
2008-05-22,40.336524963378906
2008-05-23,40.02668380737305
2008-05-27,41.02825164794922
2008-05-28,41.12192916870117
2008-05-29,41.92173767089844
2008-05-30,42.23157501220703
2008-06-02,41.294864654541016
2008-06-03,41.00664520263672
2008-06-04,40.92018127441406
2008-06-05,40.992218017578125
2008-06-06,40.22124481201172
2008-06-09,40.09153747558594
2008-06-10,39.49348068237305
2008-06-11,39.29893112182617
2008-06-12,39.234092712402344
2008-06-13,39.623172760009766
2008-06-16,40.603118896484375
2008-06-17,41.10030746459961
2008-06-18,40.73283386230469
2008-06-19,40.98503112792969
2008-06-20,40.495052337646484
2008-06-23,40.66798400878906
2008-06-24,40.163597106933594
2008-06-25,40.437400817871094
2008-06-26,39.54391860961914
2008-06-27,39.507896423339844
2008-06-30,39.594356536865234
2008-07-01,40.4013786315918
2008-07-02,38.953067779541016
2008-07-03,38.78013229370117
2008-07-07,37.699302673339844
2008-07-08,38.26853942871094
2008-07-09,37.90827178955078
2008-07-10,37.50474548339844
2008-07-11,36.18613815307617
2008-07-14,36.43113708496094
2008-07-15,36.31584930419922
2008-07-16,36.19335174560547
2008-07-17,36.14289855957031
2008-07-18,36.4815673828125
2008-07-21,36.157325744628906
2008-07-22,36.58245086669922
2008-07-23,36.993167877197266
2008-07-24,35.77542495727539
2008-07-25,36.553619384765625
2008-07-28,36.03482437133789
2008-07-29,36.34466552734375
2008-07-30,36.22937774658203
2008-07-31,35.99879455566406
2008-08-01,36.34466552734375
2008-08-04,35.00443649291992
2008-08-05,35.6817512512207
2008-08-06,35.46559143066406
2008-08-07,35.03325653076172
2008-08-08,35.26383972167969
2008-08-11,35.170169830322266
2008-08-12,34.557701110839844
2008-08-13,34.334327697753906
2008-08-14,35.090904235839844
2008-08-15,35.876304626464844
2008-08-18,35.25664138793945
2008-08-19,35.40794372558594
2008-08-20,35.516029357910156
2008-08-21,35.71778869628906
2008-08-22,35.86189651489258
2008-08-25,35.55204391479492
2008-08-26,35.227813720703125
2008-08-27,35.371917724609375
2008-08-28,34.925174713134766
2008-08-29,34.54327392578125
2008-09-02,34.10374450683594
2008-09-03,34.10374450683594
2008-09-04,33.664215087890625
2008-09-05,33.361568450927734
2008-09-08,33.81552505493164
2008-09-09,32.72028350830078
2008-09-10,32.871604919433594
2008-09-11,32.64822769165039
2008-09-12,32.540138244628906
2008-09-15,31.668275833129883
2008-09-16,31.2431583404541
2008-09-17,29.29765510559082
2008-09-18,30.20554542541504
2008-09-19,31.740327835083008
2008-09-22,31.55299186706543
2008-09-23,31.38725471496582
2008-09-24,31.833999633789062
2008-09-25,32.396034240722656
2008-09-26,32.16545486450195
2008-09-29,29.98218536376953
2008-09-30,31.372865676879883
2008-10-01,31.228729248046875
2008-10-02,29.629117965698242
2008-10-03,29.7011661529541
2008-10-06,27.294525146484375
2008-10-07,26.509122848510742
2008-10-08,26.501916885375977
2008-10-09,24.7581787109375
2008-10-10,22.87753677368164
2008-10-13,26.869400024414062
2008-10-14,27.24409294128418
2008-10-15,24.498775482177734
2008-10-16,25.860628128051758
2008-10-17,25.464324951171875
2008-10-20,26.89822006225586
2008-10-21,25.911062240600586
2008-10-22,24.160120010375977
2008-10-23,24.801410675048828
2008-10-24,23.972774505615234
2008-10-27,22.949596405029297
2008-10-28,24.412317276000977
2008-10-29,24.37628936767578
2008-10-30,24.787002563476562
2008-10-31,25.543575286865234
2008-11-03,25.305805206298828
2008-11-04,26.141639709472656
2008-11-05,24.441131591796875
2008-11-06,24.030418395996094
2008-11-07,24.81582260131836
2008-11-10,25.104045867919922
2008-11-11,24.275409698486328
2008-11-12,23.158554077148438
2008-11-13,23.48280143737793
2008-11-14,23.086498260498047
2008-11-17,22.04169464111328
2008-11-18,22.034494400024414
2008-11-19,21.04733657836914
2008-11-20,20.29796600341797
2008-11-21,21.22026824951172
2008-11-24,21.573335647583008
2008-11-25,22.120960235595703
2008-11-26,22.510053634643555
2008-11-28,22.466821670532227
2008-12-01,21.10498046875
2008-12-02,21.775089263916016
2008-12-03,21.811119079589844
2008-12-04,21.74626922607422
2008-12-05,21.919206619262695
2008-12-08,23.453981399536133
2008-12-09,23.007240295410156
2008-12-10,23.194580078125
2008-12-11,22.87753677368164
2008-12-12,23.021656036376953
2008-12-15,22.4019718170166
2008-12-16,23.626911163330078
2008-12-17,24.19615364074707
2008-12-18,23.742198944091797
