Date,EWP
1996-03-18,4.583654403686523
1996-03-19,4.583654403686523
1996-03-20,4.583654403686523
1996-03-21,4.669328689575195
1996-03-22,4.669328689575195
1996-03-25,4.669328689575195
1996-03-26,4.669328689575195
1996-03-27,4.669328689575195
1996-03-28,4.690748691558838
1996-03-29,4.733585357666016
1996-04-01,4.712167263031006
1996-04-02,4.755003452301025
1996-04-03,4.776424407958984
1996-04-04,4.776424407958984
1996-04-08,4.712167263031006
1996-04-09,4.712167263031006
1996-04-10,4.712167263031006
1996-04-11,4.755003452301025
1996-04-12,4.797843933105469
1996-04-15,4.797843933105469
1996-04-16,4.81926155090332
1996-04-17,4.81926155090332
1996-04-18,4.81926155090332
1996-04-19,4.883518695831299
1996-04-22,4.926357746124268
1996-04-23,4.90493631362915
1996-04-24,4.947775840759277
1996-04-25,4.947775840759277
1996-04-26,4.926357746124268
1996-04-29,5.012032508850098
1996-04-30,4.90493631362915
1996-05-01,4.90493631362915
1996-05-02,4.840682029724121
1996-05-03,4.883518695831299
1996-05-06,4.883518695831299
1996-05-07,4.883518695831299
1996-05-08,4.862100601196289
1996-05-09,4.840682029724121
1996-05-10,4.862100601196289
1996-05-13,4.862100601196289
1996-05-14,4.862100601196289
1996-05-15,4.862100601196289
1996-05-16,4.755003452301025
1996-05-17,4.840682029724121
1996-05-20,4.90493631362915
1996-05-21,4.947775840759277
1996-05-22,4.90493631362915
1996-05-23,4.90493631362915
1996-05-24,4.926357746124268
1996-05-28,4.947775840759277
1996-05-29,4.926357746124268
1996-05-30,4.883518695831299
1996-05-31,4.862100601196289
1996-06-03,4.862100601196289
1996-06-04,4.862100601196289
1996-06-05,4.862100601196289
1996-06-06,4.947775840759277
1996-06-07,4.947775840759277
1996-06-10,4.947775840759277
1996-06-11,4.990612983703613
1996-06-12,5.033451080322266
1996-06-13,5.033451080322266
1996-06-14,5.033451080322266
1996-06-17,5.033451080322266
1996-06-18,5.033451080322266
1996-06-19,5.033451080322266
1996-06-20,5.012032508850098
1996-06-21,5.054869651794434
1996-06-24,5.054869651794434
1996-06-25,5.054869651794434
1996-06-26,5.033451080322266
1996-06-27,5.033451080322266
1996-06-28,5.054869651794434
1996-07-01,5.097707748413086
1996-07-02,5.097707748413086
1996-07-03,5.012032508850098
1996-07-05,5.012032508850098
1996-07-08,4.9691948890686035
1996-07-09,5.012032508850098
1996-07-10,4.926357746124268
1996-07-11,4.883518695831299
1996-07-12,4.926357746124268
1996-07-15,4.81926155090332
1996-07-16,4.840682029724121
1996-07-17,4.883518695831299
1996-07-18,4.9691948890686035
1996-07-19,4.9691948890686035
1996-07-22,4.862100601196289
1996-07-23,4.862100601196289
1996-07-24,4.840682029724121
1996-07-25,4.840682029724121
1996-07-26,4.883518695831299
1996-07-29,4.776424407958984
1996-07-30,4.776424407958984
1996-07-31,4.883518695831299
1996-08-01,4.926357746124268
1996-08-02,4.990612983703613
1996-08-05,4.990612983703613
1996-08-06,4.990612983703613
1996-08-07,4.990612983703613
1996-08-08,4.990612983703613
1996-08-09,4.990612983703613
1996-08-12,4.990612983703613
1996-08-13,4.9691948890686035
1996-08-14,4.90493631362915
1996-08-15,4.883518695831299
1996-08-16,4.883518695831299
1996-08-19,4.883518695831299
1996-08-20,4.926357746124268
1996-08-21,4.926357746124268
1996-08-22,4.947775840759277
1996-08-23,4.947775840759277
1996-08-26,4.970196723937988
1996-08-27,4.970196723937988
1996-08-28,4.992091655731201
1996-08-29,4.992091655731201
1996-08-30,4.92640495300293
1996-09-03,4.88261604309082
1996-09-04,4.88261604309082
1996-09-05,4.88261604309082
1996-09-06,4.88261604309082
1996-09-09,4.92640495300293
1996-09-10,4.860719680786133
1996-09-11,4.838825225830078
1996-09-12,4.838825225830078
1996-09-13,4.948301315307617
1996-09-16,4.948301315307617
1996-09-17,4.992091655731201
1996-09-18,4.992091655731201
1996-09-19,4.992091655731201
1996-09-20,4.992091655731201
1996-09-23,4.92640495300293
1996-09-24,4.92640495300293
1996-09-25,5.013985633850098
1996-09-26,5.101564884185791
1996-09-27,5.101564884185791
1996-09-30,5.03588342666626
1996-10-01,5.123463153839111
1996-10-02,5.145357608795166
1996-10-03,5.145357608795166
1996-10-04,5.123463153839111
1996-10-07,5.123463153839111
1996-10-08,5.123463153839111
1996-10-09,5.123463153839111
1996-10-10,5.123463153839111
1996-10-11,5.0796709060668945
1996-10-14,5.0796709060668945
1996-10-15,5.0796709060668945
1996-10-16,5.101564884185791
1996-10-17,5.101564884185791
1996-10-18,5.254833221435547
1996-10-21,5.276727676391602
1996-10-22,5.254833221435547
1996-10-23,5.32051944732666
1996-10-24,5.298624038696289
1996-10-25,5.342413425445557
1996-10-28,5.254833221435547
1996-10-29,5.254833221435547
1996-10-30,5.232938766479492
1996-10-31,5.232938766479492
1996-11-01,5.232938766479492
1996-11-04,5.254833221435547
1996-11-05,5.254833221435547
1996-11-06,5.364308834075928
1996-11-07,5.408100128173828
1996-11-08,5.429994106292725
1996-11-11,5.408100128173828
1996-11-12,5.495678901672363
1996-11-13,5.495678901672363
1996-11-14,5.517574787139893
1996-11-15,5.517574787139893
1996-11-18,5.53947114944458
1996-11-19,5.561363697052002
1996-11-20,5.561363697052002
1996-11-21,5.561363697052002
1996-11-22,5.605156898498535
1996-11-25,5.605156898498535
1996-11-26,5.605156898498535
1996-11-27,5.583259105682373
1996-11-29,5.605156898498535
1996-12-02,5.605156898498535
1996-12-03,5.692734718322754
1996-12-04,5.692734718322754
1996-12-05,5.692734718322754
1996-12-06,5.692734718322754
