Date,EWJ
1996-03-18,40.1096305847168
1996-03-19,39.94320297241211
1996-03-20,39.94320297241211
1996-03-21,40.94179153442383
1996-03-22,40.775360107421875
1996-03-25,41.108211517333984
1996-03-26,41.108211517333984
1996-03-27,41.441070556640625
1996-03-28,41.441070556640625
1996-03-29,41.7739372253418
1996-04-01,41.7739372253418
1996-04-02,42.10679626464844
1996-04-03,41.7739372253418
1996-04-04,41.940364837646484
1996-04-08,41.27464294433594
1996-04-09,41.940364837646484
1996-04-10,41.60750198364258
1996-04-11,41.60750198364258
1996-04-12,41.7739372253418
1996-04-15,41.940364837646484
1996-04-16,41.940364837646484
1996-04-17,41.7739372253418
1996-04-18,41.940364837646484
1996-04-19,42.43964385986328
1996-04-22,43.77109146118164
1996-04-23,43.438236236572266
1996-04-24,43.937522888183594
1996-04-25,43.77109146118164
1996-04-26,43.937522888183594
1996-04-29,43.60466766357422
1996-04-30,43.77109146118164
1996-05-01,43.77109146118164
1996-05-02,43.27180099487305
1996-05-03,43.27180099487305
1996-05-06,43.105369567871094
1996-05-07,43.105369567871094
1996-05-08,43.27180099487305
1996-05-09,43.105369567871094
1996-05-10,42.77251434326172
1996-05-13,42.10679626464844
1996-05-14,42.43964385986328
1996-05-15,42.77251434326172
1996-05-16,42.93894958496094
1996-05-17,42.606075286865234
1996-05-20,42.43964385986328
1996-05-21,42.273231506347656
1996-05-22,42.10679626464844
1996-05-23,41.7739372253418
1996-05-24,41.60750198364258
1996-05-28,41.60750198364258
1996-05-29,41.60750198364258
1996-05-30,41.7739372253418
1996-05-31,41.7739372253418
1996-06-03,41.108211517333984
1996-06-04,41.441070556640625
1996-06-05,41.27464294433594
1996-06-06,41.27464294433594
1996-06-07,40.94179153442383
1996-06-10,40.94179153442383
1996-06-11,41.108211517333984
1996-06-12,41.60750198364258
1996-06-13,41.7739372253418
1996-06-14,41.940364837646484
1996-06-17,41.7739372253418
1996-06-18,42.273231506347656
1996-06-19,42.43964385986328
1996-06-20,42.606075286865234
1996-06-21,42.93894958496094
1996-06-24,42.273231506347656
1996-06-25,42.10679626464844
1996-06-26,42.273231506347656
1996-06-27,42.273231506347656
1996-06-28,42.273231506347656
1996-07-01,42.10679626464844
1996-07-02,41.60750198364258
1996-07-03,41.60750198364258
1996-07-05,40.775360107421875
1996-07-08,40.44248962402344
1996-07-09,40.60893249511719
1996-07-10,40.44248962402344
1996-07-11,39.94320297241211
1996-07-12,40.1096305847168
1996-07-15,39.77677917480469
1996-07-16,39.94320297241211
1996-07-17,40.1096305847168
1996-07-18,40.775360107421875
1996-07-19,40.27605056762695
1996-07-22,39.77677917480469
1996-07-23,40.1096305847168
1996-07-24,38.94462966918945
1996-07-25,39.44392013549805
1996-07-26,39.77677917480469
1996-07-29,39.44392013549805
1996-07-30,39.77677917480469
1996-07-31,40.27605056762695
1996-08-01,40.27605056762695
1996-08-02,40.27605056762695
1996-08-05,40.44248962402344
1996-08-06,39.77677917480469
1996-08-07,39.44392013549805
1996-08-08,39.277488708496094
1996-08-09,39.11105728149414
1996-08-12,39.277488708496094
1996-08-13,39.44392013549805
1996-08-14,39.610347747802734
1996-08-15,39.610347747802734
1996-08-16,39.277488708496094
1996-08-19,39.610347747802734
1996-08-20,39.277488708496094
1996-08-21,39.77677917480469
1996-08-22,39.94320297241211
1996-08-23,39.77677917480469
1996-08-26,39.44392013549805
1996-08-27,39.11105728149414
1996-08-28,38.94462966918945
1996-08-29,38.61175537109375
1996-08-30,38.11247253417969
1996-09-03,37.613189697265625
1996-09-04,37.946041107177734
1996-09-05,38.11247253417969
1996-09-06,38.11247253417969
1996-09-09,38.11247253417969
1996-09-10,38.27891159057617
1996-09-11,38.11247253417969
1996-09-12,38.11247253417969
1996-09-13,38.44532775878906
1996-09-16,38.7781982421875
1996-09-17,39.277488708496094
1996-09-18,38.94462966918945
1996-09-19,39.277488708496094
1996-09-20,38.94462966918945
1996-09-23,38.61175537109375
1996-09-24,39.11105728149414
1996-09-25,39.277488708496094
1996-09-26,39.277488708496094
1996-09-27,39.610347747802734
1996-09-30,39.44392013549805
1996-10-01,39.44392013549805
1996-10-02,39.11105728149414
1996-10-03,38.94462966918945
1996-10-04,38.7781982421875
1996-10-07,38.61175537109375
1996-10-08,37.946041107177734
1996-10-09,37.77961349487305
1996-10-10,38.11247253417969
1996-10-11,38.27891159057617
1996-10-14,38.27891159057617
1996-10-15,38.94462966918945
1996-10-16,38.7781982421875
1996-10-17,38.94462966918945
1996-10-18,39.277488708496094
1996-10-21,37.77961349487305
1996-10-22,37.946041107177734
1996-10-23,37.613189697265625
1996-10-24,37.946041107177734
1996-10-25,37.446754455566406
1996-10-28,37.28032302856445
1996-10-29,37.11389923095703
1996-10-30,36.94746398925781
1996-10-31,36.781028747558594
1996-11-01,37.11389923095703
1996-11-04,37.11389923095703
1996-11-05,36.781028747558594
1996-11-06,37.613189697265625
1996-11-07,37.613189697265625
1996-11-08,38.11247253417969
1996-11-11,38.11247253417969
1996-11-12,38.11247253417969
1996-11-13,37.77961349487305
1996-11-14,37.946041107177734
1996-11-15,38.11247253417969
1996-11-18,37.613189697265625
1996-11-19,37.613189697265625
1996-11-20,37.946041107177734
1996-11-21,37.946041107177734
1996-11-22,38.44532775878906
1996-11-25,38.44532775878906
1996-11-26,38.27891159057617
1996-11-27,38.11247253417969
1996-11-29,37.613189697265625
1996-12-02,36.781028747558594
1996-12-03,36.781028747558594
1996-12-04,36.94746398925781
1996-12-05,37.946041107177734
1996-12-06,36.781028747558594
1996-12-09,37.11389923095703
