Date,QQQ
1999-03-10,43.23430252075195
1999-03-11,43.445953369140625
1999-03-12,42.387577056884766
1999-03-15,43.60468292236328
1999-03-16,43.97513198852539
1999-03-17,43.657649993896484
1999-03-18,44.50430679321289
1999-03-19,43.366573333740234
1999-03-22,42.8373908996582
1999-03-23,41.32920837402344
1999-03-24,42.731571197509766
1999-03-25,44.29263687133789
1999-03-26,43.81638717651367
1999-03-29,45.40394973754883
1999-03-30,45.0864372253418
1999-03-31,44.42494201660156
1999-04-01,45.35100173950195
1999-04-05,46.99148941040039
1999-04-06,47.08409118652344
1999-04-07,46.594600677490234
1999-04-08,46.96502685546875
1999-04-09,47.25606918334961
1999-04-12,46.93855285644531
1999-04-13,46.30354690551758
1999-04-14,44.71598434448242
1999-04-15,45.324554443359375
1999-04-16,44.001583099365234
1999-04-19,41.937774658203125
1999-04-20,42.89033126831055
1999-04-21,45.00703430175781
1999-04-22,46.22417068481445
1999-04-23,46.832733154296875
1999-04-26,47.91092300415039
1999-04-27,47.176692962646484
1999-04-28,45.56267547607422
1999-04-29,45.192264556884766
1999-04-30,45.48332977294922
1999-05-03,45.245182037353516
1999-05-04,44.53078079223633
1999-05-05,45.88020324707031
1999-05-06,44.213253021240234
1999-05-07,44.848289489746094
1999-05-10,45.298095703125
1999-05-11,46.01249694824219
1999-05-12,46.96502685546875
1999-05-13,46.09187316894531
1999-05-14,45.218719482421875
1999-05-17,46.03234100341797
1999-05-18,45.82728576660156
1999-05-19,46.46228790283203
1999-05-20,45.18564224243164
1999-05-21,44.768924713134766
1999-05-24,43.631168365478516
1999-05-25,42.20237350463867
1999-05-26,43.37980651855469
1999-05-27,43.340118408203125
1999-05-28,44.05449295043945
1999-06-01,43.075523376464844
1999-06-02,43.80315017700195
1999-06-03,43.18135452270508
1999-06-04,44.50430679321289
1999-06-07,45.43040084838867
1999-06-08,44.29263687133789
1999-06-09,45.03351593017578
1999-06-10,44.51757049560547
1999-06-11,43.84282302856445
1999-06-14,43.01598358154297
1999-06-15,43.657649993896484
1999-06-16,45.90004348754883
1999-06-17,46.409385681152344
1999-06-18,46.62103271484375
1999-06-21,48.01678466796875
1999-06-22,46.5681266784668
1999-06-23,47.3023796081543
1999-06-24,46.363075256347656
1999-06-25,46.30354690551758
1999-06-28,47.40162658691406
1999-06-29,48.04984664916992
1999-06-30,48.790714263916016
1999-07-01,49.1214485168457
1999-07-02,49.74325180053711
1999-07-06,49.42573547363281
1999-07-07,49.505104064941406
1999-07-08,50.16658020019531
1999-07-09,50.66929626464844
1999-07-12,50.40470886230469
1999-07-13,50.16658020019531
1999-07-14,51.019901275634766
1999-07-15,51.48955154418945
1999-07-16,51.965797424316406
1999-07-19,51.43663024902344
1999-07-20,49.45219802856445
1999-07-21,49.69032287597656
1999-07-22,48.42690658569336
1999-07-23,48.49964141845703
1999-07-26,47.308998107910156
1999-07-27,48.26151657104492
1999-07-28,49.20743179321289
1999-07-29,48.15568923950195
1999-07-30,47.91755294799805
1999-08-02,47.785255432128906
1999-08-03,47.474365234375
1999-08-04,46.61444091796875
1999-08-05,47.35529327392578
1999-08-06,46.84596252441406
1999-08-09,46.244014739990234
1999-08-10,45.82728576660156
1999-08-11,47.33545684814453
1999-08-12,46.77981948852539
1999-08-13,48.81716537475586
1999-08-16,49.20743179321289
1999-08-17,49.45219802856445
1999-08-18,48.89653015136719
1999-08-19,48.31443405151367
1999-08-20,49.081764221191406
1999-08-23,50.642845153808594
1999-08-24,50.98681640625
1999-08-25,52.0716438293457
1999-08-26,51.20511245727539
1999-08-27,50.69577407836914
1999-08-30,49.98134994506836
1999-08-31,50.53702163696289
1999-09-01,50.90082550048828
1999-09-02,50.72223663330078
1999-09-03,53.050636291503906
1999-09-07,52.8125
1999-09-08,52.09809112548828
1999-09-09,52.838958740234375
1999-09-10,53.44751739501953
1999-09-13,52.8058967590332
1999-09-14,53.096946716308594
1999-09-15,52.0716438293457
1999-09-16,52.045188903808594
1999-09-17,53.60627746582031
1999-09-20,53.731956481933594
1999-09-21,52.44206619262695
1999-09-22,52.997718811035156
1999-09-23,50.801605224609375
1999-09-24,50.86777114868164
1999-09-27,51.224937438964844
1999-09-28,51.46307373046875
1999-09-29,50.431156158447266
1999-09-30,50.96037292480469
1999-10-01,50.980194091796875
1999-10-04,52.12456130981445
1999-10-05,52.494991302490234
1999-10-06,53.5467529296875
1999-10-07,53.42106246948242
1999-10-08,53.983314514160156
1999-10-11,54.7440299987793
1999-10-12,53.50043869018555
1999-10-13,51.91287612915039
1999-10-14,52.23701477050781
1999-10-15,50.69577407836914
1999-10-18,50.05414581298828
1999-10-19,50.325340270996094
1999-10-20,51.85997009277344
1999-10-21,52.706668853759766
1999-10-22,52.46852111816406
1999-10-25,52.494991302490234
1999-10-26,52.0716438293457
1999-10-27,51.99228286743164
1999-10-28,53.7914924621582
1999-10-29,55.67009353637695
1999-11-01,55.379058837890625
1999-11-02,55.41211700439453
1999-11-03,56.51677322387695
1999-11-04,57.15180587768555
1999-11-05,57.73392105102539
1999-11-08,58.89811706542969
1999-11-09,58.501243591308594
1999-11-10,59.268516540527344
1999-11-11,60.32691955566406
1999-11-12,61.12068176269531
1999-11-15,61.001609802246094
1999-11-16,62.54948043823242
1999-11-17,61.70278549194336
1999-11-18,63.5946159362793
1999-11-19,64.16350555419922
1999-11-22,63.18447494506836
1999-11-23,63.47550964355469
1999-11-24,65.56583404541016
1999-11-26,65.77749633789062
1999-11-29,64.69265747070312
1999-11-30,62.231937408447266
1999-12-01,63.58137893676758
