Date,EWC
1996-03-18,4.409491062164307
1996-03-19,4.436214447021484
1996-03-20,4.436214447021484
1996-03-21,4.436214447021484
1996-03-22,4.436214447021484
1996-03-25,4.436214447021484
1996-03-26,4.436214447021484
1996-03-27,4.436214447021484
1996-03-28,4.436214447021484
1996-03-29,4.462939262390137
1996-04-01,4.462939262390137
1996-04-02,4.4896626472473145
1996-04-03,4.4896626472473145
1996-04-04,4.4896626472473145
1996-04-08,4.4896626472473145
1996-04-09,4.4896626472473145
1996-04-10,4.543110370635986
1996-04-11,4.4896626472473145
1996-04-12,4.4896626472473145
1996-04-15,4.4896626472473145
1996-04-16,4.543110370635986
1996-04-17,4.596559524536133
1996-04-18,4.543110370635986
1996-04-19,4.596559524536133
1996-04-22,4.596559524536133
1996-04-23,4.596559524536133
1996-04-24,4.596559524536133
1996-04-25,4.596559524536133
1996-04-26,4.623284816741943
1996-04-29,4.650008678436279
1996-04-30,4.623284816741943
1996-05-01,4.596559524536133
1996-05-02,4.543110370635986
1996-05-03,4.569835186004639
1996-05-06,4.569835186004639
1996-05-07,4.569835186004639
1996-05-08,4.569835186004639
1996-05-09,4.569835186004639
1996-05-10,4.569835186004639
1996-05-13,4.569835186004639
1996-05-14,4.569835186004639
1996-05-15,4.596559524536133
1996-05-16,4.650008678436279
1996-05-17,4.676731586456299
1996-05-20,4.650008678436279
1996-05-21,4.676731586456299
1996-05-22,4.650008678436279
1996-05-23,4.650008678436279
1996-05-24,4.650008678436279
1996-05-28,4.676731586456299
1996-05-29,4.650008678436279
1996-05-30,4.596559524536133
1996-05-31,4.596559524536133
1996-06-03,4.623284816741943
1996-06-04,4.623284816741943
1996-06-05,4.623284816741943
1996-06-06,4.623284816741943
1996-06-07,4.623284816741943
1996-06-10,4.596559524536133
1996-06-11,4.596559524536133
1996-06-12,4.596559524536133
1996-06-13,4.596559524536133
1996-06-14,4.596559524536133
1996-06-17,4.516386032104492
1996-06-18,4.516386032104492
1996-06-19,4.516386032104492
1996-06-20,4.516386032104492
1996-06-21,4.543110370635986
1996-06-24,4.543110370635986
1996-06-25,4.543110370635986
1996-06-26,4.516386032104492
1996-06-27,4.516386032104492
1996-06-28,4.516386032104492
1996-07-01,4.543110370635986
1996-07-02,4.596559524536133
1996-07-03,4.596559524536133
1996-07-05,4.596559524536133
1996-07-08,4.569835186004639
1996-07-09,4.650008678436279
1996-07-10,4.596559524536133
1996-07-11,4.516386032104492
1996-07-12,4.516386032104492
1996-07-15,4.569835186004639
1996-07-16,4.382767677307129
1996-07-17,4.462939262390137
1996-07-18,4.436214447021484
1996-07-19,4.436214447021484
1996-07-22,4.436214447021484
1996-07-23,4.436214447021484
1996-07-24,4.436214447021484
1996-07-25,4.436214447021484
1996-07-26,4.436214447021484
1996-07-29,4.436214447021484
1996-07-30,4.436214447021484
1996-07-31,4.436214447021484
1996-08-01,4.436214447021484
1996-08-02,4.4896626472473145
1996-08-05,4.4896626472473145
1996-08-06,4.4896626472473145
1996-08-07,4.4896626472473145
1996-08-08,4.516386032104492
1996-08-09,4.4896626472473145
1996-08-12,4.4896626472473145
1996-08-13,4.4896626472473145
1996-08-14,4.4896626472473145
1996-08-15,4.4896626472473145
1996-08-16,4.596559524536133
1996-08-19,4.596559524536133
1996-08-20,4.596559524536133
1996-08-21,4.596559524536133
1996-08-22,4.596559524536133
1996-08-23,4.596559524536133
1996-08-26,4.614156246185303
1996-08-27,4.640984535217285
1996-08-28,4.640984535217285
1996-08-29,4.56050443649292
1996-08-30,4.56050443649292
1996-09-03,4.506851673126221
1996-09-04,4.56050443649292
1996-09-05,4.56050443649292
1996-09-06,4.56050443649292
1996-09-09,4.587332248687744
1996-09-10,4.587332248687744
1996-09-11,4.587332248687744
1996-09-12,4.614156246185303
1996-09-13,4.587332248687744
1996-09-16,4.694637298583984
1996-09-17,4.694637298583984
1996-09-18,4.694637298583984
1996-09-19,4.694637298583984
1996-09-20,4.694637298583984
1996-09-23,4.694637298583984
1996-09-24,4.694637298583984
1996-09-25,4.694637298583984
1996-09-26,4.694637298583984
1996-09-27,4.694637298583984
1996-09-30,4.748291015625
1996-10-01,4.775116920471191
1996-10-02,4.775116920471191
1996-10-03,4.828770637512207
1996-10-04,4.9092488288879395
1996-10-07,4.9092488288879395
1996-10-08,4.9092488288879395
1996-10-09,4.882422924041748
1996-10-10,4.9092488288879395
1996-10-11,4.882422924041748
1996-10-14,4.936075687408447
1996-10-15,4.9092488288879395
1996-10-16,4.962903022766113
1996-10-17,4.962903022766113
1996-10-18,4.989727020263672
1996-10-21,5.0165557861328125
1996-10-22,5.043381690979004
1996-10-23,5.070208549499512
1996-10-24,5.070208549499512
1996-10-25,5.070208549499512
1996-10-28,5.043381690979004
1996-10-29,5.043381690979004
1996-10-30,5.150689601898193
1996-10-31,5.150689601898193
1996-11-01,5.150689601898193
1996-11-04,5.150689601898193
1996-11-05,5.177515029907227
1996-11-06,5.311644554138184
1996-11-07,5.311644554138184
1996-11-08,5.25799560546875
1996-11-11,5.311644554138184
1996-11-12,5.338474750518799
1996-11-13,5.311644554138184
1996-11-14,5.338474750518799
1996-11-15,5.338474750518799
1996-11-18,5.365299224853516
1996-11-19,5.365299224853516
1996-11-20,5.392125606536865
1996-11-21,5.4457783699035645
1996-11-22,5.4189534187316895
1996-11-25,5.392125606536865
1996-11-26,5.49943208694458
1996-11-27,5.4457783699035645
1996-11-29,5.4457783699035645
1996-12-02,5.4457783699035645
1996-12-03,5.4189534187316895
1996-12-04,5.311644554138184
1996-12-05,5.338474750518799
