Date,BIL
2007-05-30,73.5753173828125
2007-05-31,73.5753173828125
2007-06-01,73.59136199951172
2007-06-04,73.607421875
2007-06-05,73.607421875
2007-06-06,73.63957977294922
2007-06-07,73.62352752685547
2007-06-08,73.63957977294922
2007-06-11,73.67166900634766
2007-06-12,73.607421875
2007-06-13,73.67166900634766
2007-06-14,73.7038345336914
2007-06-15,73.76801300048828
2007-06-18,73.78416442871094
2007-06-19,73.78416442871094
2007-06-20,73.80024719238281
2007-06-21,73.80024719238281
2007-06-22,73.86445617675781
2007-06-25,73.83235931396484
2007-06-26,73.84840393066406
2007-06-27,73.83235931396484
2007-06-28,73.86445617675781
2007-06-29,73.8966293334961
2007-07-02,73.91756439208984
2007-07-03,73.91756439208984
2007-07-05,73.91756439208984
2007-07-06,73.94987487792969
2007-07-09,73.96600341796875
2007-07-10,73.98210144042969
2007-07-11,73.98210144042969
2007-07-12,73.99822235107422
2007-07-13,74.014404296875
2007-07-16,74.03054809570312
2007-07-17,74.06278228759766
2007-07-18,74.04666900634766
2007-07-19,74.06278228759766
2007-07-20,74.09500122070312
2007-07-23,74.09500122070312
2007-07-24,74.09500122070312
2007-07-25,74.11121368408203
2007-07-26,74.12738037109375
2007-07-27,74.15962982177734
2007-07-30,74.09500122070312
2007-07-31,74.1918716430664
2007-08-01,74.16757202148438
2007-08-02,74.18379211425781
2007-08-03,74.15135192871094
2007-08-06,74.23235321044922
2007-08-07,74.24858093261719
2007-08-08,74.21615600585938
2007-08-09,74.28099060058594
2007-08-10,74.3296127319336
2007-08-13,74.34577178955078
2007-08-14,74.3296127319336
2007-08-15,74.34577178955078
2007-08-16,74.44300842285156
2007-08-17,74.49161529541016
2007-08-20,74.55641174316406
2007-08-21,74.54022216796875
2007-08-22,74.54022216796875
2007-08-23,74.49161529541016
2007-08-24,74.47543334960938
2007-08-27,74.37820434570312
2007-08-28,74.45918273925781
2007-08-29,74.50780487060547
2007-08-30,74.52399444580078
2007-08-31,74.50780487060547
2007-09-04,74.5191879272461
2007-09-05,74.53545379638672
2007-09-06,74.53545379638672
2007-09-07,74.58422088623047
2007-09-10,74.60053253173828
2007-09-11,74.5191879272461
2007-09-12,74.63301086425781
2007-09-13,74.61679077148438
2007-09-14,74.66557312011719
2007-09-17,74.6981201171875
2007-09-18,74.64930725097656
2007-09-19,74.68180084228516
2007-09-20,74.63301086425781
2007-09-21,74.66557312011719
2007-09-24,74.73059844970703
2007-09-25,74.74689483642578
2007-09-26,74.66557312011719
2007-09-27,74.68180084228516
2007-09-28,74.64930725097656
2007-10-01,74.73090362548828
2007-10-02,74.68197631835938
2007-10-03,74.6982421875
2007-10-04,74.77985382080078
2007-10-05,74.6982421875
2007-10-08,74.81251525878906
2007-10-09,74.7635269165039
2007-10-10,74.82882690429688
2007-10-11,74.81251525878906
2007-10-12,74.82882690429688
2007-10-15,74.79618072509766
2007-10-16,74.84512329101562
2007-10-17,74.8778076171875
2007-10-18,74.8778076171875
2007-10-19,74.94304656982422
2007-10-22,74.91045379638672
2007-10-23,74.91045379638672
2007-10-24,74.94304656982422
2007-10-25,74.92675018310547
2007-10-26,74.89408111572266
2007-10-29,74.95941162109375
2007-10-30,74.92675018310547
2007-10-31,74.94304656982422
2007-11-01,74.99380493164062
2007-11-02,75.04293823242188
2007-11-05,75.04293823242188
2007-11-06,75.04293823242188
2007-11-07,75.09203338623047
2007-11-08,75.04293823242188
2007-11-09,75.1084213256836
2007-11-12,75.14119720458984
2007-11-13,75.12482452392578
2007-11-14,75.09203338623047
2007-11-15,75.14119720458984
2007-11-16,75.14119720458984
2007-11-19,75.17393493652344
2007-11-20,75.19025421142578
2007-11-21,75.22303009033203
2007-11-23,75.23942565917969
2007-11-26,75.19025421142578
2007-11-27,75.25582122802734
2007-11-28,75.27218627929688
2007-11-29,75.22303009033203
2007-11-30,75.23942565917969
2007-12-03,75.22135925292969
2007-12-04,75.23776245117188
2007-12-05,75.23776245117188
2007-12-06,75.25421142578125
2007-12-07,75.31986999511719
2007-12-10,75.2706298828125
2007-12-11,75.369140625
2007-12-12,75.35277557373047
2007-12-13,75.3856430053711
2007-12-14,75.33631134033203
2007-12-17,75.369140625
2007-12-18,75.369140625
2007-12-19,75.40202331542969
2007-12-20,75.43489837646484
2007-12-21,75.43489837646484
2007-12-24,75.43489837646484
2007-12-26,75.40202331542969
2007-12-27,75.43489837646484
2007-12-28,75.4332275390625
2007-12-31,75.41680145263672
2008-01-02,75.48265075683594
2008-01-03,75.4332275390625
2008-01-04,75.41680145263672
2008-01-07,75.48265075683594
2008-01-08,75.4332275390625
2008-01-09,75.38379669189453
2008-01-10,75.41680145263672
2008-01-11,75.4496841430664
2008-01-14,75.51557159423828
2008-01-15,75.49910736083984
2008-01-16,75.49910736083984
2008-01-17,75.4661636352539
2008-01-18,75.51557159423828
2008-01-22,75.54850006103516
2008-01-23,75.63085174560547
2008-01-24,75.66380310058594
2008-01-25,75.5814437866211
2008-01-28,75.61444854736328
2008-01-29,75.68026733398438
2008-01-30,75.71321868896484
2008-01-31,75.71321868896484
2008-02-01,75.70497131347656
2008-02-04,75.72144317626953
2008-02-05,75.67193603515625
2008-02-06,75.73795318603516
2008-02-07,75.72144317626953
2008-02-08,75.72144317626953
2008-02-11,75.73795318603516
2008-02-12,75.72144317626953
2008-02-13,75.73795318603516
2008-02-14,75.75453186035156
2008-02-15,75.75453186035156
2008-02-19,75.75453186035156
2008-02-20,75.72144317626953
2008-02-21,75.78755187988281
2008-02-22,75.78755187988281
2008-02-25,75.75453186035156
