Date,AGG
2003-09-29,51.568607330322266
2003-09-30,51.836124420166016
2003-10-01,51.81087112426758
2003-10-02,51.73008728027344
2003-10-03,51.356651306152344
2003-10-06,51.43228530883789
2003-10-07,51.25567626953125
2003-10-08,51.38182830810547
2003-10-09,51.20014190673828
2003-10-10,51.482765197753906
2003-10-13,51.25567626953125
2003-10-14,51.154701232910156
2003-10-15,51.028499603271484
2003-10-16,50.89228057861328
2003-10-17,51.134517669677734
2003-10-20,51.104248046875
2003-10-21,51.20519256591797
2003-10-22,51.43228530883789
2003-10-23,51.30615234375
2003-10-24,51.55849838256836
2003-10-27,51.45753860473633
2003-10-28,51.65947341918945
2003-10-29,51.43228530883789
2003-10-30,51.43228530883789
2003-10-31,51.35157012939453
2003-11-03,51.25990676879883
2003-11-04,51.361175537109375
2003-11-05,51.361175537109375
2003-11-06,51.082637786865234
2003-11-07,51.107948303222656
2003-11-10,51.20415115356445
2003-11-11,51.113033294677734
2003-11-12,51.209228515625
2003-11-13,51.58406448364258
2003-11-14,51.62458038330078
2003-11-17,51.84238815307617
2003-11-18,51.81706237792969
2003-11-19,51.57393264770508
2003-11-20,51.751224517822266
2003-11-21,51.80694580078125
2003-11-24,51.58912658691406
2003-11-25,51.79177474975586
2003-11-26,51.604305267333984
2003-11-28,51.523250579833984
2003-12-01,51.382083892822266
2003-12-02,51.36685562133789
2003-12-03,51.417640686035156
2003-12-04,51.49379348754883
2003-12-05,51.752838134765625
2003-12-08,51.752838134765625
2003-12-09,51.463348388671875
2003-12-10,51.666473388671875
2003-12-11,51.849300384521484
2003-12-12,51.879825592041016
2003-12-15,51.849300384521484
2003-12-16,51.879825592041016
2003-12-17,52.00679016113281
2003-12-18,52.082942962646484
2003-12-19,52.10835647583008
2003-12-22,52.082942962646484
2003-12-23,51.879825592041016
2003-12-24,51.92043685913086
2003-12-26,52.17946243286133
2003-12-29,52.052494049072266
2003-12-30,51.95600509643555
2003-12-31,52.02780532836914
2004-01-02,51.732383728027344
2004-01-05,51.793479919433594
2004-01-06,52.02780532836914
2004-01-07,52.14493942260742
2004-01-08,52.12969207763672
2004-01-09,52.56255340576172
2004-01-12,52.414886474609375
2004-01-13,52.53709411621094
2004-01-14,52.53206253051758
2004-01-15,52.59825134277344
2004-01-16,52.55748748779297
2004-01-20,52.511653900146484
2004-01-21,52.547279357910156
2004-01-22,52.638980865478516
2004-01-23,52.511653900146484
2004-01-26,52.307899475097656
2004-01-27,52.38431930541992
2004-01-28,52.27738571166992
2004-01-29,52.15513610839844
2004-01-30,52.25703430175781
2004-02-02,52.27130126953125
2004-02-03,52.4143180847168
2004-02-04,52.41941833496094
2004-02-05,52.27130126953125
2004-02-06,52.48582077026367
2004-02-09,52.52152633666992
2004-02-10,52.40918731689453
2004-02-11,52.61348342895508
2004-02-12,52.618587493896484
2004-02-13,52.85348892211914
2004-02-17,52.725826263427734
2004-02-18,52.68496322631836
2004-02-19,52.74113845825195
2004-02-20,52.57770919799805
2004-02-23,52.720703125
2004-02-24,52.67477035522461
2004-02-25,52.797325134277344
2004-02-26,52.710487365722656
2004-02-27,52.85348892211914
2004-03-01,52.87705612182617
2004-03-02,52.69279479980469
2004-03-03,52.636470794677734
2004-03-04,52.76449203491211
2004-03-05,53.15349578857422
2004-03-08,53.33270263671875
2004-03-09,53.40948486328125
2004-03-10,53.34801483154297
2004-03-11,53.46576690673828
2004-03-12,53.30197525024414
2004-03-15,53.312171936035156
2004-03-16,53.44021987915039
2004-03-17,53.414573669433594
2004-03-18,53.3633918762207
2004-03-19,53.30707550048828
2004-03-22,53.44534683227539
2004-03-23,53.45039367675781
2004-03-24,53.48112487792969
2004-03-25,53.45039367675781
2004-03-26,53.266109466552734
2004-03-29,53.168880462646484
2004-03-30,52.958961486816406
2004-03-31,53.21492004394531
2004-04-01,53.2406005859375
2004-04-02,52.75303649902344
2004-04-05,52.42969512939453
2004-04-06,52.57852554321289
2004-04-07,52.450260162353516
2004-04-08,52.48106002807617
2004-04-12,52.46565246582031
2004-04-13,52.373268127441406
2004-04-14,52.219322204589844
2004-04-15,52.142337799072266
2004-04-16,52.28601837158203
2004-04-19,52.219322204589844
2004-04-20,52.04991912841797
2004-04-21,51.926753997802734
2004-04-22,52.11665344238281
2004-04-23,52.0140266418457
2004-04-26,51.99860763549805
2004-04-27,52.12690353393555
2004-04-28,51.88570022583008
2004-04-29,51.73686981201172
2004-04-30,51.72147750854492
2004-05-03,51.64426803588867
2004-05-04,51.73695373535156
2004-05-05,51.67002868652344
2004-05-06,51.51047897338867
2004-05-07,51.07311248779297
2004-05-10,50.995933532714844
2004-05-11,51.12455749511719
2004-05-12,51.052490234375
2004-05-13,51.042236328125
2004-05-14,51.052490234375
2004-05-17,51.30979919433594
2004-05-18,51.33552169799805
2004-05-19,51.24805450439453
2004-05-20,51.38704299926758
2004-05-21,51.304664611816406
2004-05-24,51.345829010009766
2004-05-25,51.33034896850586
2004-05-26,51.45904541015625
2004-05-27,51.706058502197266
2004-05-28,51.52592468261719
2004-06-01,51.467613220214844
2004-06-02,51.48823928833008
2004-06-03,51.467613220214844
2004-06-04,51.359188079833984
2004-06-07,51.410823822021484
2004-06-08,51.28691864013672
2004-06-09,51.3023796081543
2004-06-10,51.25078582763672
2004-06-14,51.106258392333984
2004-06-15,51.539859771728516
2004-06-16,51.43661880493164
2004-06-17,51.493385314941406
2004-06-18,51.57087326049805
2004-06-21,51.63800048828125
2004-06-22,51.6173210144043
2004-06-23,51.57600784301758
2004-06-24,51.77217102050781
