Date,MCHI
2011-03-31,38.76155471801758
2011-04-01,39.29928970336914
2011-04-04,40.13575744628906
2011-04-05,39.89676284790039
2011-04-06,40.09841537475586
2011-04-07,40.02372741699219
2011-04-08,40.12081527709961
2011-04-11,39.530818939208984
2011-04-12,39.25448226928711
2011-04-13,39.650306701660156
2011-04-14,39.76980209350586
2011-04-15,40.04613494873047
2011-04-18,39.418785095214844
2011-04-19,39.359031677246094
2011-04-20,40.06107711791992
2011-04-21,40.51665115356445
2011-04-25,40.09841537475586
2011-04-26,40.13575744628906
2011-04-27,39.515865325927734
2011-04-28,39.32170104980469
2011-04-29,39.418785095214844
2011-05-02,39.59054946899414
2011-05-03,38.574832916259766
2011-05-04,38.141666412353516
2011-05-05,37.977352142333984
2011-05-06,38.10431671142578
2011-05-09,38.53749465942383
2011-05-10,38.6943359375
2011-05-11,37.984832763671875
2011-05-12,38.07445526123047
2011-05-13,37.902671813964844
2011-05-16,38.03710174560547
2011-05-17,37.87279510498047
2011-05-18,38.858646392822266
2011-05-19,38.6569938659668
2011-05-20,38.440399169921875
2011-05-23,37.40975570678711
2011-05-24,37.730892181396484
2011-05-25,37.984832763671875
2011-05-26,38.007232666015625
2011-05-27,38.29850387573242
2011-05-31,39.14990997314453
2011-06-01,38.582298278808594
2011-06-02,38.70927429199219
2011-06-03,38.05204772949219
2011-06-06,37.79811477661133
2011-06-07,38.02964401245117
2011-06-08,37.41721725463867
2011-06-09,37.64875030517578
2011-06-10,36.819740295410156
2011-06-13,36.573272705078125
2011-06-14,37.08860778808594
2011-06-15,36.37908935546875
2011-06-16,36.23720169067383
2011-06-17,36.1923828125
2011-06-20,36.14009094238281
2011-06-21,36.819740295410156
2011-06-22,36.48768615722656
2011-06-23,36.02311706542969
2011-06-24,36.845638275146484
2011-06-27,37.48537063598633
2011-06-28,37.645301818847656
2011-06-29,37.691001892089844
2011-06-30,38.05656433105469
2011-07-01,38.5592041015625
2011-07-05,38.58967208862305
2011-07-06,37.98801040649414
2011-07-07,38.635372161865234
2011-07-08,37.99563217163086
2011-07-11,37.22642517089844
2011-07-12,36.86848068237305
2011-07-13,37.50060272216797
2011-07-14,37.18073272705078
2011-07-15,37.188350677490234
2011-07-18,37.036041259765625
2011-07-19,37.31781768798828
2011-07-20,37.492984771728516
2011-07-21,37.7366943359375
2011-07-22,38.026092529296875
2011-07-25,37.683380126953125
2011-07-26,37.78999710083008
2011-07-27,37.393978118896484
2011-07-28,37.7366943359375
2011-07-29,37.78999710083008
2011-08-01,37.29496383666992
2011-08-02,37.04364776611328
2011-08-03,36.3505973815918
2011-08-04,35.33006286621094
2011-08-05,34.27145767211914
2011-08-08,31.918161392211914
2011-08-09,32.97676086425781
2011-08-10,32.01716232299805
2011-08-11,32.43603515625
2011-08-12,32.900604248046875
2011-08-15,33.96682357788086
2011-08-16,33.814510345458984
2011-08-17,33.814510345458984
2011-08-18,33.814510345458984
2011-08-19,32.184715270996094
2011-08-22,31.712533950805664
2011-08-23,32.489349365234375
2011-08-24,32.21517562866211
2011-08-25,32.10855484008789
2011-08-26,32.32941436767578
2011-08-29,33.18239974975586
2011-08-30,33.395633697509766
2011-08-31,33.9820556640625
2011-09-01,33.928749084472656
2011-09-02,33.05292510986328
2011-09-06,32.557899475097656
2011-09-07,32.557899475097656
2011-09-08,32.557899475097656
2011-09-09,31.803916931152344
2011-09-12,31.385040283203125
2011-09-13,31.423128128051758
2011-09-14,31.400283813476562
2011-09-15,31.643978118896484
2011-09-16,31.826759338378906
2011-09-19,30.912857055664062
2011-09-20,30.82147216796875
2011-09-21,30.143657684326172
2011-09-22,27.668489456176758
2011-09-23,28.178752899169922
2011-09-26,27.797962188720703
2011-09-27,29.123136520385742
2011-09-28,28.73472023010254
2011-09-29,28.64332389831543
2011-09-30,27.500947952270508
2011-10-03,26.54134750366211
2011-10-04,25.46750259399414
2011-10-05,27.036380767822266
2011-10-06,27.577106475830078
2011-10-07,27.73703956604004
2011-10-10,28.98604393005371
2011-10-11,29.602922439575195
2011-10-12,30.775768280029297
2011-10-13,30.242664337158203
2011-10-14,30.60822868347168
2011-10-17,29.983722686767578
2011-10-18,29.024120330810547
2011-10-19,29.793323516845703
2011-10-20,28.42247200012207
2011-10-21,28.42247200012207
2011-10-24,31.08803367614746
2011-10-25,30.745309829711914
2011-10-26,31.011863708496094
2011-10-27,33.327091217041016
2011-10-28,33.26617431640625
2011-10-31,31.864856719970703
2011-11-01,31.339353561401367
2011-11-02,32.54265594482422
2011-11-03,33.075767517089844
2011-11-04,32.2989501953125
2011-11-07,33.205238342285156
2011-11-08,32.80921936035156
2011-11-09,31.55259895324707
2011-11-10,31.956222534179688
2011-11-11,32.19993591308594
2011-11-14,31.803916931152344
2011-11-15,32.474117279052734
2011-11-16,31.689682006835938
2011-11-17,30.41021728515625
2011-11-18,30.570144653320312
2011-11-21,29.747634887695312
2011-11-22,29.496305465698242
2011-11-23,29.145977020263672
2011-11-25,29.260211944580078
2011-11-28,29.915180206298828
2011-11-29,30.235048294067383
2011-11-30,31.758224487304688
2011-12-01,31.87246322631836
2011-12-02,31.87246322631836
2011-12-05,31.819143295288086
2011-12-06,31.910547256469727
2011-12-07,31.689682006835938
2011-12-08,30.935707092285156
2011-12-09,31.36981964111328
2011-12-12,30.158885955810547
2011-12-13,30.08272933959961
2011-12-14,29.839027404785156
2011-12-15,29.816177368164062
2011-12-16,30.136045455932617
2011-12-19,29.800949096679688
2011-12-20,30.63690948486328
2011-12-21,30.507123947143555
2011-12-22,30.888845443725586
