Date,GREK
2011-12-08,33.96709442138672
2011-12-09,34.05915069580078
2011-12-12,32.72439956665039
2011-12-13,32.47126388549805
2011-12-14,31.87291717529297
2011-12-15,32.19510269165039
2011-12-16,31.596759796142578
2011-12-19,31.4356746673584
2011-12-20,31.757856369018555
2011-12-21,32.31016540527344
2011-12-22,32.14907455444336
2011-12-23,32.609336853027344
2011-12-27,32.56331253051758
2011-12-28,31.804515838623047
2011-12-29,31.804515838623047
2011-12-30,32.33498001098633
2012-01-03,32.704002380371094
2012-01-04,31.712270736694336
2012-01-05,31.13568115234375
2012-01-06,31.13568115234375
2012-01-09,29.91331672668457
2012-01-10,29.29060173034668
2012-01-11,29.47511100769043
2012-01-12,29.959444046020508
2012-01-13,30.005571365356445
2012-01-17,31.227941513061523
2012-01-18,32.51948165893555
2012-01-19,33.67265319824219
2012-01-20,34.94115447998047
2012-01-23,36.92461395263672
2012-01-24,35.07952880859375
2012-01-25,38.07778549194336
2012-01-26,40.01511764526367
2012-01-27,40.130428314208984
2012-01-30,40.17655944824219
2012-01-31,44.28185272216797
2012-02-01,43.820579528808594
2012-02-02,43.267066955566406
2012-02-03,40.79927062988281
2012-02-06,42.22920608520508
2012-02-07,44.72005844116211
2012-02-08,44.18959426879883
2012-02-09,44.30492401123047
2012-02-10,41.49117660522461
2012-02-13,44.535552978515625
2012-02-14,43.40544509887695
2012-02-15,40.52250289916992
2012-02-16,41.860191345214844
2012-02-17,44.743125915527344
2012-02-21,42.805789947509766
2012-02-22,39.25402069091797
2012-02-23,39.415470123291016
2012-02-24,39.66916275024414
2012-02-27,39.55384826660156
2012-02-28,37.7548942565918
2012-02-29,39.2078971862793
2012-03-01,38.88500213623047
2012-03-02,38.861942291259766
2012-03-05,37.59345626831055
2012-03-06,38.28535079956055
2012-03-07,39.09257507324219
2012-03-08,40.730079650878906
2012-03-09,39.13869857788086
2012-03-12,37.59345626831055
2012-03-13,37.93940734863281
2012-03-14,37.062992095947266
2012-03-15,37.7779541015625
2012-03-16,38.515987396240234
2012-03-19,40.291873931884766
2012-03-20,39.945926666259766
2012-03-21,38.8388786315918
2012-03-22,39.16176223754883
2012-03-23,38.861942291259766
2012-03-26,39.43852233886719
2012-03-27,38.05472183227539
2012-03-28,36.83235549926758
2012-03-29,36.232704162597656
2012-03-30,36.11738967895508
2012-04-02,35.2409782409668
2012-04-03,34.2261848449707
2012-04-04,33.1422004699707
2012-04-05,34.1800537109375
2012-04-09,33.55733871459961
2012-04-10,34.964210510253906
2012-04-11,34.64132308959961
2012-04-12,35.21791076660156
2012-04-13,34.24925231933594
2012-04-16,34.61825942993164
2012-04-17,36.0020751953125
2012-04-18,35.287105560302734
2012-04-19,34.11086654663086
2012-04-20,34.34150314331055
2012-04-23,33.71879577636719
2012-04-24,33.71879577636719
2012-04-25,33.97248077392578
2012-04-26,33.97248077392578
2012-04-27,33.234458923339844
2012-04-30,33.51121520996094
2012-05-01,33.90329360961914
2012-05-02,32.68092727661133
2012-05-03,32.3580436706543
2012-05-04,32.75011444091797
2012-05-07,30.67441177368164
2012-05-08,29.198354721069336
2012-05-09,28.575632095336914
2012-05-10,29.313671112060547
2012-05-11,28.783199310302734
2012-05-14,26.868934631347656
2012-05-15,25.623512268066406
2012-05-16,24.700973510742188
2012-05-17,23.870689392089844
2012-05-18,24.72403335571289
2012-05-21,24.677907943725586
2012-05-22,23.870689392089844
2012-05-23,23.570859909057617
2012-05-24,22.371562957763672
2012-05-25,21.725780487060547
2012-05-29,23.040401458740234
2012-05-30,21.910289764404297
2012-05-31,22.371562957763672
2012-06-01,21.195323944091797
2012-06-04,21.564340591430664
2012-06-05,20.411165237426758
2012-06-06,21.310644149780273
2012-06-07,21.08000946044922
2012-06-08,21.910289764404297
2012-06-11,21.379833221435547
2012-06-12,21.702722549438477
2012-06-13,22.325435638427734
2012-06-14,25.116113662719727
2012-06-15,27.307144165039062
2012-06-18,26.638309478759766
2012-06-19,28.206619262695312
2012-06-20,27.814542770385742
2012-06-21,27.007320404052734
2012-06-22,27.399398803710938
2012-06-25,25.36981201171875
2012-06-26,25.60044288635254
2012-06-27,25.761884689331055
2012-06-28,25.53125762939453
2012-06-29,27.906797409057617
2012-07-02,27.676158905029297
2012-07-03,27.353269577026367
2012-07-05,27.86066436767578
2012-07-06,27.653093338012695
2012-07-09,27.284086227416992
2012-07-10,26.269289016723633
2012-07-11,25.646575927734375
2012-07-12,26.01559066772461
2012-07-13,26.845870971679688
2012-07-16,27.353269577026367
2012-07-17,26.868934631347656
2012-07-18,26.915067672729492
2012-07-19,27.076507568359375
2012-07-20,26.915067672729492
2012-07-23,24.885478973388672
2012-07-24,24.262765884399414
2012-07-25,24.331958770751953
2012-07-26,24.90854263305664
2012-07-27,25.162242889404297
2012-07-30,25.53125762939453
2012-07-31,25.093050003051758
2012-08-01,25.761884689331055
2012-08-02,24.86241912841797
2012-08-03,25.877208709716797
2012-08-06,26.453794479370117
2012-08-07,27.214889526367188
2012-08-08,26.315418243408203
2012-08-09,26.269289016723633
2012-08-10,26.522987365722656
2012-08-13,26.684423446655273
2012-08-14,26.522987365722656
2012-08-15,26.223161697387695
2012-08-16,27.514719009399414
2012-08-17,27.975982666015625
2012-08-20,27.284086227416992
2012-08-21,28.206619262695312
2012-08-22,28.252748489379883
2012-08-23,27.676158905029297
2012-08-24,28.506446838378906
2012-08-27,28.16049575805664
2012-08-28,27.768415451049805
2012-08-29,27.837600708007812
2012-08-30,27.399398803710938
2012-08-31,27.999052047729492
2012-09-04,28.575632095336914
