Date,SPY
1993-01-29,24.380449295043945
1993-02-01,24.553848266601562
1993-02-02,24.605871200561523
1993-02-03,24.865962982177734
1993-02-04,24.970022201538086
1993-02-05,24.952674865722656
1993-02-08,24.952674865722656
1993-02-09,24.779258728027344
1993-02-10,24.813941955566406
1993-02-11,24.935331344604492
1993-02-12,24.74459457397461
1993-02-16,24.120344161987305
1993-02-17,24.10300636291504
1993-02-18,24.08566665649414
1993-02-19,24.172361373901367
1993-02-22,24.259056091308594
1993-02-23,24.241718292236328
1993-02-24,24.553848266601562
1993-02-25,24.605871200561523
1993-02-26,24.64053726196289
1993-03-01,24.571191787719727
1993-03-02,24.935331344604492
1993-03-03,25.03937339782715
1993-03-04,24.900646209716797
1993-03-05,24.831279754638672
1993-03-08,25.386178970336914
1993-03-09,25.299474716186523
1993-03-10,25.351491928100586
1993-03-11,25.282136917114258
1993-03-12,25.022018432617188
1993-03-15,25.143409729003906
1993-03-16,25.143409729003906
1993-03-17,24.987363815307617
1993-03-18,25.143409729003906
1993-03-19,25.105361938476562
1993-03-22,24.965988159179688
1993-03-23,25.01824188232422
1993-03-24,25.01824188232422
1993-03-25,25.175058364868164
1993-03-26,25.035675048828125
1993-03-29,25.140199661254883
1993-03-30,25.20990753173828
1993-03-31,25.192472457885742
1993-04-01,25.105361938476562
1993-04-02,24.58270835876465
1993-04-05,24.70463752746582
1993-04-06,24.634973526000977
1993-04-07,24.72207260131836
1993-04-08,24.687231063842773
1993-04-12,25.035675048828125
1993-04-13,25.08793830871582
1993-04-14,25.053091049194336
1993-04-15,25.053091049194336
1993-04-16,25.053091049194336
1993-04-19,24.948570251464844
1993-04-20,24.826610565185547
1993-04-21,24.809179306030273
1993-04-22,24.49557876586914
1993-04-23,24.39104652404785
1993-04-26,24.199419021606445
1993-04-27,24.460750579833984
1993-04-28,24.408479690551758
1993-04-29,24.513017654418945
1993-04-30,24.5478572845459
1993-05-03,24.70463752746582
1993-05-04,24.79176902770996
1993-05-05,24.86146354675293
1993-05-06,24.774341583251953
1993-05-07,24.72207260131836
1993-05-10,24.774341583251953
1993-05-11,24.878875732421875
1993-05-12,24.844017028808594
1993-05-13,24.5478572845459
1993-05-14,24.530427932739258
1993-05-17,24.61754608154297
1993-05-18,24.600112915039062
1993-05-19,25.105361938476562
1993-05-20,25.175058364868164
1993-05-21,24.948570251464844
1993-05-24,25.053091049194336
1993-05-25,25.105361938476562
1993-05-26,25.418964385986328
1993-05-27,25.331857681274414
1993-05-28,25.20990753173828
1993-06-01,25.453819274902344
1993-06-02,25.418964385986328
1993-06-03,25.331857681274414
1993-06-04,25.244735717773438
1993-06-07,25.157621383666992
1993-06-08,24.931135177612305
1993-06-09,25.01824188232422
1993-06-10,25.035675048828125
1993-06-11,25.140199661254883
1993-06-14,25.105361938476562
1993-06-15,25.053091049194336
1993-06-16,25.105361938476562
1993-06-17,25.192472457885742
1993-06-18,24.98501968383789
1993-06-21,25.037656784057617
1993-06-22,25.055206298828125
1993-06-23,24.82710838317871
1993-06-24,25.160476684570312
1993-06-25,25.142934799194336
1993-06-28,25.42365074157715
1993-06-29,25.30083465576172
1993-06-30,25.30083465576172
1993-07-01,25.230648040771484
1993-07-02,25.090282440185547
1993-07-06,24.82710838317871
1993-07-07,24.897294998168945
1993-07-08,25.178014755249023
1993-07-09,25.248201370239258
1993-07-12,25.230648040771484
1993-07-13,25.213102340698242
1993-07-14,25.30083465576172
1993-07-15,25.195556640625
1993-07-16,25.125385284423828
1993-07-19,25.107824325561523
1993-07-20,25.178014755249023
1993-07-21,25.160476684570312
1993-07-22,24.98501968383789
1993-07-23,25.107824325561523
1993-07-26,25.248201370239258
1993-07-27,25.230648040771484
1993-07-28,25.178014755249023
1993-07-29,25.318374633789062
1993-07-30,25.178014755249023
1993-08-02,25.248201370239258
1993-08-03,25.265743255615234
1993-08-04,25.265743255615234
1993-08-05,25.213102340698242
1993-08-06,25.248201370239258
1993-08-09,25.388566970825195
1993-08-10,25.371021270751953
1993-08-11,25.371021270751953
1993-08-12,25.30083465576172
1993-08-13,25.33591651916504
1993-08-16,25.476303100585938
1993-08-17,25.56401252746582
1993-08-18,25.70439338684082
1993-08-19,25.70439338684082
1993-08-20,25.72193145751953
1993-08-23,25.669292449951172
1993-08-24,25.950027465820312
1993-08-25,25.967565536499023
1993-08-26,25.985111236572266
1993-08-27,25.967565536499023
1993-08-30,26.072847366333008
1993-08-31,26.143033981323242
1993-09-01,26.107929229736328
1993-09-02,26.020225524902344
1993-09-03,26.03775405883789
1993-09-07,25.862295150756836
1993-09-08,25.774555206298828
1993-09-09,25.827207565307617
1993-09-10,26.055307388305664
1993-09-13,26.072847366333008
1993-09-14,25.967565536499023
1993-09-15,26.03775405883789
1993-09-16,25.932485580444336
1993-09-17,25.882190704345703
1993-09-20,25.67033576965332
1993-09-21,25.58206558227539
1993-09-22,25.793933868408203
1993-09-23,25.93515396118164
1993-09-24,25.86454963684082
1993-09-27,26.14702033996582
1993-09-28,26.09406089782715
1993-09-29,26.00577735900879
1993-09-30,25.952804565429688
1993-10-01,26.07640266418457
1993-10-04,26.11172103881836
1993-10-05,26.07640266418457
1993-10-06,26.058740615844727
1993-10-07,25.988126754760742
1993-10-08,26.023433685302734
1993-10-11,26.07640266418457
1993-10-12,26.11172103881836
1993-10-13,26.11172103881836
1993-10-14,26.447166442871094
1993-10-15,26.588396072387695
1993-10-18,26.51779556274414
1993-10-19,26.32358169555664
1993-10-20,26.3588924407959
1993-10-21,26.32358169555664
1993-10-22,26.199987411499023
