Date,EWZ
2000-07-14,7.428436279296875
2000-07-17,7.871193885803223
2000-07-18,7.846593856811523
2000-07-19,7.649814128875732
2000-07-20,7.821995735168457
2000-07-21,7.871193885803223
2000-07-24,7.871193885803223
2000-07-25,7.871193885803223
2000-07-26,7.871193885803223
2000-07-27,7.772800445556641
2000-07-28,7.625218391418457
2000-07-31,7.625218391418457
2000-08-01,7.576023101806641
2000-08-02,7.477632522583008
2000-08-03,7.428436279296875
2000-08-04,7.723606109619141
2000-08-07,7.723606109619141
2000-08-08,7.723606109619141
2000-08-09,7.723606109619141
2000-08-10,7.477632522583008
2000-08-11,7.649814128875732
2000-08-14,7.649814128875732
2000-08-15,7.871193885803223
2000-08-16,7.871193885803223
2000-08-17,7.994176864624023
2000-08-18,7.772800445556641
2000-08-21,7.772800445556641
2000-08-22,7.772800445556641
2000-08-23,7.772800445556641
2000-08-24,7.718272686004639
2000-08-25,7.868629455566406
2000-08-28,7.893689155578613
2000-08-29,7.693211555480957
2000-08-30,7.693211555480957
2000-08-31,7.9187469482421875
2000-09-01,7.9187469482421875
2000-09-05,7.868629455566406
2000-09-06,8.119221687316895
2000-09-07,8.144280433654785
2000-09-08,7.818509101867676
2000-09-11,8.018985748291016
2000-09-12,7.893689155578613
2000-09-13,7.718272686004639
2000-09-14,7.6180315017700195
2000-09-15,7.467678546905518
2000-09-18,7.292263507843018
2000-09-19,7.24214506149292
2000-09-20,7.0917887687683105
2000-09-21,7.217085361480713
2000-09-22,7.24214506149292
2000-09-25,7.392500877380371
2000-09-26,7.317325115203857
2000-09-27,7.192028045654297
2000-09-28,7.192028045654297
2000-09-29,7.267204284667969
2000-10-02,7.14190673828125
2000-10-03,7.041670322418213
2000-10-04,7.217085361480713
2000-10-05,7.292263507843018
2000-10-06,7.217085361480713
2000-10-09,6.891315460205078
2000-10-10,7.016612529754639
2000-10-11,7.0917887687683105
2000-10-12,6.8411946296691895
2000-10-13,6.916376113891602
2000-10-16,6.991552352905273
2000-10-17,6.816137790679932
2000-10-18,6.816137790679932
2000-10-19,6.891315460205078
2000-10-20,6.791077136993408
2000-10-23,6.465307235717773
2000-10-24,6.465307235717773
2000-10-25,6.064357280731201
2000-10-26,6.089415073394775
2000-10-27,6.089415073394775
2000-10-30,6.089415073394775
2000-10-31,6.465307235717773
2000-11-01,6.615661144256592
2000-11-02,6.615661144256592
2000-11-03,6.415186405181885
2000-11-06,6.415186405181885
2000-11-07,6.415186405181885
2000-11-08,6.415186405181885
2000-11-09,6.214713096618652
2000-11-10,6.214713096618652
2000-11-13,6.139533996582031
2000-11-14,6.390129566192627
2000-11-15,6.390129566192627
2000-11-16,6.3400092124938965
2000-11-17,6.1645965576171875
2000-11-20,6.1645965576171875
2000-11-21,6.1645965576171875
2000-11-22,6.1645965576171875
2000-11-24,6.1645965576171875
2000-11-27,6.139533996582031
2000-11-28,5.888941287994385
2000-11-29,5.888941287994385
2000-11-30,5.788706302642822
2000-12-01,5.788706302642822
2000-12-04,5.763646602630615
2000-12-05,5.763646602630615
2000-12-06,6.064357280731201
2000-12-07,6.139533996582031
2000-12-08,6.365069389343262
2000-12-11,6.490366458892822
2000-12-12,6.5154242515563965
2000-12-13,6.415186405181885
2000-12-14,6.5154242515563965
2000-12-15,6.440247535705566
2000-12-18,6.565541744232178
2000-12-19,6.565541744232178
2000-12-20,6.341945648193359
2000-12-21,6.341945648193359
2000-12-22,6.216611385345459
2000-12-26,6.216611385345459
2000-12-27,6.367013454437256
2000-12-28,6.56754732131958
2000-12-29,6.617681980133057
2001-01-02,6.6928839683532715
2001-01-03,7.219289779663086
2001-01-04,7.119020938873291
2001-01-05,6.968621730804443
2001-01-08,6.968621730804443
2001-01-09,7.169157028198242
2001-01-10,7.119020938873291
2001-01-11,7.144088268280029
2001-01-12,7.144088268280029
2001-01-16,6.993688106536865
2001-01-17,7.3195600509643555
2001-01-18,7.394758701324463
2001-01-19,7.469959735870361
2001-01-22,7.344626426696777
2001-01-23,7.469959735870361
2001-01-24,7.469959735870361
2001-01-25,7.4448933601379395
2001-01-26,7.419828414916992
2001-01-29,7.500041484832764
2001-01-30,7.339612007141113
2001-01-31,7.520094871520996
2001-02-01,7.203244686126709
2001-02-02,7.018755912780762
2001-02-05,6.918488502502441
2001-02-06,7.110999584197998
2001-02-07,7.022767066955566
2001-02-08,7.219289779663086
2001-02-09,7.219289779663086
2001-02-12,7.179183006286621
2001-02-13,7.179183006286621
2001-02-14,7.327579975128174
2001-02-15,7.259398460388184
2001-02-16,6.954583168029785
2001-02-20,6.798166751861572
2001-02-21,6.657792091369629
2001-02-22,6.597630023956299
2001-02-23,6.717951774597168
2001-02-26,6.878379821777344
2001-02-27,6.577576637268066
2001-02-28,6.617681980133057
2001-03-01,6.617681980133057
2001-03-02,6.998700141906738
2001-03-05,6.998700141906738
2001-03-06,6.8302507400512695
2001-03-07,6.958596229553223
2001-03-08,6.918488502502441
2001-03-09,6.8182196617126465
2001-03-12,6.597630023956299
2001-03-13,6.597630023956299
2001-03-14,6.300837993621826
2001-03-15,6.23666524887085
2001-03-16,6.2968268394470215
2001-03-19,6.2968268394470215
2001-03-20,6.19655704498291
2001-03-21,6.044150352478027
2001-03-22,5.755378246307373
2001-03-23,5.735325336456299
2001-03-26,6.100302696228027
2001-03-27,6.252707481384277
2001-03-28,6.056182384490967
2001-03-29,6.096290588378906
2001-03-30,6.008055210113525
2001-04-02,5.755378246307373
2001-04-03,5.755378246307373
2001-04-04,5.81553840637207
2001-04-05,6.008055210113525
