Date,VBMFX
1986-12-11,1.4468752145767212
1986-12-12,1.4468752145767212
1986-12-15,1.4425359964370728
1986-12-16,1.4468752145767212
1986-12-17,1.4468752145767212
1986-12-18,1.4468752145767212
1986-12-19,1.4468752145767212
1986-12-22,1.445428490638733
1986-12-23,1.449769377708435
1986-12-24,1.449769377708435
1986-12-26,1.449769377708435
1986-12-29,1.4425359964370728
1986-12-30,1.4381941556930542
1986-12-31,1.4381941556930542
1987-01-02,1.4425359964370728
1987-01-05,1.4468752145767212
1987-01-06,1.4468752145767212
1987-01-07,1.4468752145767212
1987-01-08,1.449769377708435
1987-01-09,1.449769377708435
1987-01-12,1.4526623487472534
1987-01-13,1.449769377708435
1987-01-14,1.4483211040496826
1987-01-15,1.4598318338394165
1987-01-16,1.4612892866134644
1987-01-19,1.4612892866134644
1987-01-20,1.4642027616500854
1987-01-21,1.4642027616500854
1987-01-22,1.4627468585968018
1987-01-23,1.4612892866134644
1987-01-26,1.4569183588027954
1987-01-27,1.4569183588027954
1987-01-28,1.4569183588027954
1987-01-29,1.458374261856079
1987-01-30,1.4569183588027954
1987-02-02,1.4540044069290161
1987-02-03,1.4540044069290161
1987-02-04,1.4525487422943115
1987-02-05,1.4569183588027954
1987-02-06,1.4569183588027954
1987-02-09,1.4554616212844849
1987-02-10,1.4481757879257202
1987-02-11,1.4467198848724365
1987-02-12,1.4481757879257202
1987-02-13,1.4604945182800293
1987-02-17,1.4590269327163696
1987-02-18,1.4604945182800293
1987-02-19,1.4634264707565308
1987-02-20,1.4634264707565308
1987-02-23,1.4619617462158203
1987-02-24,1.4648929834365845
1987-02-25,1.4648929834365845
1987-02-26,1.4648929834365845
1987-02-27,1.4648929834365845
1987-03-02,1.4648929834365845
1987-03-03,1.4648929834365845
1987-03-04,1.4648929834365845
1987-03-05,1.4663597345352173
1987-03-06,1.4634264707565308
1987-03-09,1.4619617462158203
1987-03-10,1.4619617462158203
1987-03-11,1.4604945182800293
1987-03-12,1.4619617462158203
1987-03-13,1.4731789827346802
1987-03-16,1.471704125404358
1987-03-17,1.471704125404358
1987-03-18,1.4746551513671875
1987-03-19,1.4731789827346802
1987-03-20,1.4731789827346802
1987-03-23,1.471704125404358
1987-03-24,1.470226764678955
1987-03-25,1.471704125404358
1987-03-26,1.471704125404358
1987-03-27,1.470226764678955
1987-03-30,1.4569416046142578
1987-03-31,1.4554654359817505
1987-04-01,1.4525145292282104
1987-04-02,1.4525145292282104
1987-04-03,1.4525145292282104
1987-04-06,1.453989028930664
1987-04-07,1.4525145292282104
1987-04-08,1.4510372877120972
1987-04-09,1.4392280578613281
1987-04-10,1.4244669675827026
1987-04-13,1.4215131998062134
1987-04-14,1.4097057580947876
1987-04-15,1.425475835800171
1987-04-16,1.4358938932418823
1987-04-20,1.425475835800171
1987-04-21,1.4135749340057373
1987-04-22,1.4165500402450562
1987-04-23,1.4120867252349854
1987-04-24,1.4016705751419067
1987-04-27,1.4016705751419067
1987-04-28,1.4046459197998047
1987-04-29,1.4061344861984253
1987-04-30,1.4091100692749023
1987-05-01,1.4046459197998047
1987-05-04,1.397207498550415
1987-05-05,1.397207498550415
1987-05-06,1.3957182168960571
1987-05-07,1.397207498550415
1987-05-08,1.4016705751419067
1987-05-11,1.4001821279525757
1987-05-12,1.3957182168960571
1987-05-13,1.3942309617996216
1987-05-14,1.3957182168960571
1987-05-15,1.39601731300354
1987-05-18,1.391520380973816
1987-05-19,1.390019178390503
1987-05-20,1.3825230598449707
1987-05-21,1.3825230598449707
1987-05-22,1.3840214014053345
1987-05-26,1.399017333984375
1987-05-27,1.400516152381897
1987-05-28,1.39601731300354
1987-05-29,1.403515100479126
1987-06-01,1.408015251159668
1987-06-02,1.3945183753967285
1987-06-03,1.39601731300354
1987-06-04,1.399017333984375
1987-06-05,1.403515100479126
1987-06-08,1.403515100479126
1987-06-09,1.4020174741744995
1987-06-10,1.4050145149230957
1987-06-11,1.403515100479126
1987-06-12,1.4155118465423584
1987-06-15,1.4280542135238647
1987-06-16,1.4295649528503418
1987-06-17,1.43258798122406
1987-06-18,1.4310768842697144
1987-06-19,1.4295649528503418
1987-06-22,1.4340993165969849
1987-06-23,1.4340993165969849
1987-06-24,1.4295649528503418
1987-06-25,1.4310768842697144
1987-06-26,1.4265434741973877
1987-06-29,1.4250317811965942
1987-06-30,1.4235202074050903
1987-07-01,1.4250317811965942
1987-07-02,1.4295649528503418
1987-07-06,1.4295649528503418
1987-07-07,1.4310768842697144
1987-07-08,1.4295649528503418
1987-07-09,1.4280542135238647
1987-07-10,1.4295649528503418
1987-07-13,1.4280542135238647
1987-07-14,1.4295649528503418
1987-07-15,1.4356552362442017
1987-07-16,1.4387001991271973
1987-07-17,1.4402227401733398
1987-07-20,1.437177300453186
1987-07-21,1.4356552362442017
1987-07-22,1.4295673370361328
1987-07-23,1.4265201091766357
1987-07-24,1.424998164176941
1987-07-27,1.424998164176941
1987-07-28,1.4234768152236938
1987-07-29,1.4234768152236938
1987-07-30,1.4219529628753662
1987-07-31,1.4219529628753662
1987-08-03,1.4128187894821167
1987-08-04,1.4128187894821167
1987-08-05,1.4189077615737915
1987-08-06,1.4173856973648071
1987-08-07,1.4173856973648071
1987-08-10,1.4189077615737915
1987-08-11,1.4173856973648071
1987-08-12,1.4173856973648071
1987-08-13,1.4189077615737915
1987-08-14,1.4340921640396118
1987-08-17,1.43562650680542
1987-08-18,1.4294928312301636
1987-08-19,1.4264233112335205
1987-08-20,1.4294928312301636
1987-08-21,1.4294928312301636
